{'01044099999': -10.0, '02293099999': -27.6}
         315347 function calls (310628 primitive calls) in 1.304 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:169(_path_isdir)
        4    0.000    0.000    0.000    0.000 functools.py:878(register)
        1    0.000    0.000    0.000    0.000 _adapters.py:40(CompatibilityFiles)
      442    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:67(_relax_case)
       56    0.000    0.000    0.000    0.000 ipaddress.py:533(_split_addr_prefix)
       75    0.000    0.000    0.000    0.000 _parser.py:230(__init__)
        1    0.000    0.000    0.000    0.000 functools.py:758(_compose_mro)
      978    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
      308    0.000    0.000    0.000    0.000 enum.py:58(_is_sunder)
      978    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
        1    0.000    0.000    0.000    0.000 __init__.py:241(split)
      446    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
      143    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
     12/1    0.000    0.000    0.000    0.000 functools.py:713(_c3_mro)
      184    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:185(_path_isabs)
        1    0.000    0.000    0.000    0.000 tempfile.py:1(<module>)
      338    0.000    0.000    0.000    0.000 _parser.py:82(groups)
       31    0.000    0.000    0.000    0.000 ipaddress.py:1286(__init__)
      257    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
      522    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
      513    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
      250    0.000    0.000    0.000    0.000 socket.py:89(<lambda>)
      190    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
       21    0.000    0.000    0.000    0.000 typing.py:379(_remove_dups_flatten)
      249    0.000    0.000    0.000    0.000 socket.py:84(<lambda>)
      248    0.000    0.000    0.000    0.000 socket.py:79(<lambda>)
      251    0.000    0.000    0.000    0.000 socket.py:94(<lambda>)
       75    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
        1    0.000    0.000    0.000    0.000 stringprep.py:1(<module>)
      314    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
      998    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
       35    0.000    0.000    0.000    0.000 ipaddress.py:1641(_make_netmask)
        1    0.000    0.000    0.000    0.000 calendar.py:77(Day)
       22    0.000    0.000    0.000    0.000 ipaddress.py:1187(_ip_int_from_string)
      150    0.000    0.000    0.000    0.000 _compiler.py:573(isstring)
        1    0.000    0.000    0.000    0.000 connection.py:114(_has_ipv6)
        1    0.000    0.000    0.000    0.000 intranges.py:1(<module>)
      213    0.000    0.000    0.000    0.000 {built-in method _weakref._remove_dead_weakref}
      298    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
      426    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
        7    0.000    0.000    0.000    0.000 contextlib.py:276(contextmanager)
        1    0.000    0.000    0.000    0.000 readers.py:23(__init__)
        1    0.000    0.000    0.000    0.000 quoprimime.py:1(<module>)
        7    0.000    0.000    0.000    0.000 typing.py:2199(__init_subclass__)
       66    0.000    0.000    0.000    0.000 __init__.py:26(__new__)
        1    0.000    0.000    0.000    0.000 abc.py:62(Traversable)
       19    0.000    0.000    0.000    0.000 enum.py:1449(_iter_member_by_def_)
       60    0.000    0.000    0.000    0.000 {built-in method builtins.delattr}
        1    0.000    0.000    0.000    0.000 auth.py:1(<module>)
        3    0.000    0.000    0.000    0.000 typing.py:1748(__getitem__)
      214    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
       24    0.000    0.000    0.000    0.000 typing.py:3794(__getattr__)
        6    0.000    0.000    0.000    0.000 abc.py:41(_register)
       52    0.000    0.000    0.000    0.000 _compiler.py:470(_get_charset_prefix)
